,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),62.3,61.4
2,Population below age 15 years (%),35.8,38.2
3,"Sex ratio of the total population (females per 1,000 males)","1,018","1,027"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",944,893
5,Children under age 5 years whose birth was registered with the civil authority (%),77.9,62.6
6,Deaths in the last 3 years registered with the civil authority (%),41.3,na
7,Population living in households with electricity (%),96.7,74.7
8,Population living in households with an improved drinking-water source (%),98.0,95.8
9,Population living in households that use an improved sanitation facility(%),59.1,22.0
10,Households using clean fuel for cooking (%),29.0,13.8
11,Households using iodized salt (%),93.7,96.5
12,Households with any usual member covered under a health insurance/financing scheme (%),18.1,20.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.1,na
15,Women who are literate (%),66.0,na
16,Women with 10 or more years of schooling (%),29.5,28.8
18,Women age 20-24 years married before age 18 years (%),27.1,37.7
19,Births in the 5 years preceding the survey that are third or higher order (%),6.5,6.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,8.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.9,36.5
23,Any method (%),78.6,34.1
24,Any modern method (%),59.7,34.1
25,Female sterilization (%),44.0,32.2
26,Male sterilization (%),0.1,0.0
27,IUD/PPIUD (%),0.4,0.5
28,Pill (%),3.5,0.5
29,Condom (%),7.3,0.9
30,Injectables (%),1.7,0.2
32,Total unmet need(%),3.7,19.2
33,Unmet need for spacing (%),1.7,8.4
35,Health worker ever talked to female non-users about family planning (%),45.1,7.5
36,Current users ever told about side effects of current method (%),62.6,23.2
39,Mothers who had an antenatal check-up in the first trimester (%),62.4,30.0
40,Mothers who had at least 4 antenatal care visits (%),25.6,10.1
41,Mothers whose last birth was protected against neonatal tetanus (%),93.5,92.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),11.2,3.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.6,0.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2,73.9
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),81.6,56.1
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,671","1,232"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,0.0
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),77.0,na
52,Institutional births (%),83.3,80.1
53,Institutional births in public facility (%),63.2,54.5
54,Home births that were conducted by skilled health personnel (%),5.2,3.1
55,Births attended by skilled health personnel (%),86.0,82.9
56,Births delivered by caesarean section (%),7.4,5.3
57,Births in a private health facility that were delivered by caesarean section (%),31.9,18.4
58,Births in a public health facility that were delivered by caesarean section (%),1.6,1.1
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),88.9,70.5
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.4,79.6
63,Children age 12-23 months who have received BCG (%),98.2,96.7
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),89.9,80.7
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.4,90.7
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.5,85.2
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.1,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),14.0,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.4,79.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.5,49.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.9,98.9
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.1,1.1
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.1,5.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(27.6)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(22.4)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(45.0)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.2,1.3
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),77.5,57.2
82,Children under age 3 years breastfed within one hour of birth (%),48.5,40.9
83,Children under age 6 months exclusively breastfed (%),(45.1),(34.1)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(23.4)
85,Breastfeeding children age 6-23 months receiving an adequate diet  (%),13.1,4.5
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet  (%),13.4,4.5
88,Children under 5 years who are stunted (height-for-age) (%),44.1,53.8
89,Children under 5 years who are wasted (weight-for-height) (%),27.3,21.4
90,Children under 5 years who are severely wasted (weight-for-height) (%),15.9,6.9
91,Children under 5 years who are underweight (weight-for-age) (%),47.2,48.1
92,Children under 5 years who are overweight (weight-for-height) (%),2.5,1.6
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.6,28.6
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),11.8,13.7
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),62.6,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.4,63.0
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),70.6,57.3
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(62.4),64.3
101,All women age 15-49 years who are anaemic (%),70.3,57.8
102,All women age 15-19 years who are anaemic (%),70.8,56.9
105,Women - Blood sugar level - high (141-160 mg/dl)(%),4.4,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),2.0,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.9,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),6.1,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),3.4,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.9,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),12.3,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.4,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.0,na
124,Ever undergone a screening test for cervical cancer (%),0.0,na
125,Ever undergone a breast examination for breast cancer (%),0.0,na
126,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
128,Women age 15 years and above who use any kind of tobacco (%),2.8,na
129,Men age 15 years and above who use any kind of tobacco (%),50.8,na
130,Women age 15 years and above who consume alcohol (%),0.5,na
131,Men age 15 years and above who consume alcohol (%),14.1,na
