,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),70.7,62.5
2,Population below age 15 years (%),31.5,36.0
3,"Sex ratio of the total population (females per 1,000 males)","1,141","1,119"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,060",983
5,Children under age 5 years whose birth was registered with the civil authority (%),86.5,67.1
6,Deaths in the last 3 years registered with the civil authority (%),61.9,na
7,Population living in households with electricity (%),95.3,55.0
8,Population living in households with an improved drinking-water source (%),99.8,99.2
9,Population living in households that use an improved sanitation facility(%),47.7,25.5
10,Households using clean fuel for cooking (%),48.0,20.0
11,Households using iodized salt (%),94.1,96.2
12,Households with any usual member covered under a health insurance/financing scheme (%),8.2,12.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.2,na
15,Women who are literate (%),70.9,na
16,Women with 10 or more years of schooling (%),38.9,29.4
18,Women age 20-24 years married before age 18 years (%),21.3,24.7
19,Births in the 5 years preceding the survey that are third or higher order (%),3.8,3.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,5.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),55.8,25.3
23,Any method (%),53.5,9.8
24,Any modern method (%),42.4,9.3
25,Female sterilization (%),30.2,6.5
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),0.0,0.2
28,Pill (%),2.3,1.6
29,Condom (%),7.0,0.9
30,Injectables (%),0.7,0.1
32,Total unmet need(%),15.4,24.8
33,Unmet need for spacing (%),5.1,9.4
35,Health worker ever talked to female non-users about family planning (%),9.3,8.1
36,Current users ever told about side effects of current method (%),40.2,(48.3)
38,Mothers who had an antenatal check-up in the first trimester (%),61.0,39.5
39,Mothers who had at least 4 antenatal care visits (%),30.3,21.3
40,Mothers whose last birth was protected against neonatal tetanus (%),96.6,89.9
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.1,19.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.8,5.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),82.9,72.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),63.9,36.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,135","1,662"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(9.9),3.2
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),63.0,na
51,Institutional births (%),86.4,74.8
52,Institutional births in public facility (%),65.3,53.5
53,Home births that were conducted by skilled health personnel (%),4.4,8.9
54,Births attended by skilled health personnel (%),86.9,77.9
55,Births delivered by caesarean section (%),11.3,4.1
56,Births in a private health facility that were delivered by caesarean section (%),37.8,12.7
57,Births in a public health facility that were delivered by caesarean section (%),5.2,2.5
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),76.1,63.3
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.2,77.9
62,Children age 12-23 months who have received BCG (%),97.4,85.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),78.4,69.4
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.6,75.7
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.4,76.9
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),25.3,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.2,64.2
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.3,68.8
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,93.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,6.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),15.8,11.7
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),56.7,37.0
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),14.2,16.6
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),49.1,59.3
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.4,2.2
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),71.6,64.5
81,Children under age 3 years breastfed within one hour of birth (%),21.9,30.8
82,Children under age 6 months exclusively breastfed (%),(59.5),63.3
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(39.9)
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),10.8,9.7
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(11.5)
86,Total children age 6-23 months receiving an adequate diet  (%),10.8,10.0
87,Children under 5 years who are stunted (height-for-age) (%),36.7,37.9
88,Children under 5 years who are wasted (weight-for-height) (%),18.2,15.0
89,Children under 5 years who are severely wasted (weight-for-height) (%),5.8,6.0
90,Children under 5 years who are underweight (weight-for-age) (%),30.8,31.6
91,Children under 5 years who are overweight (weight-for-height) (%),3.1,1.9
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.1,24.2
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.3,17.0
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),63.5,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),63.9,63.1
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),53.0,60.2
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(58.0),67.0
100,All women age 15-49 years who are anaemic (%),53.1,60.5
101,All women age 15-19 years who are anaemic (%),64.0,61.7
104,Women - Blood sugar level - high (141-160 mg/dl)(%),3.4,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.9,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),8.3,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),6.6,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.7,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.4,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.6,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.1,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.4,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.6,na
123,Ever undergone a screening test for cervical cancer (%),0.2,na
124,Ever undergone a breast examination for breast cancer (%),0.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),4.6,na
128,Men age 15 years and above who use any kind of tobacco (%),44.1,na
129,Women age 15 years and above who consume alcohol (%),0.4,na
130,Men age 15 years and above who consume alcohol (%),11.4,na
