,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),57.3,51.5
1,Population below age 15 years (%),39.4,38.1
2,"Sex ratio of the total population (females per 1,000 males)","1,092",977
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",984,820
4,Children under age 5 years whose birth was registered with the civil authority (%),78.9,54.9
5,Deaths in the last 3 years registered with the civil authority (%),49.5,na
6,Population living in households with electricity (%),91.6,74.8
7,Population living in households with an improved drinking-water source (%),88.2,80.3
8,Population living in households that use an improved sanitation facility(%),43.2,27.1
9,Households using clean fuel for cooking (%),17.4,11.6
10,Households using iodized salt (%),98.2,98.0
11,Households with any usual member covered under a health insurance/financing scheme (%),34.8,6.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.5,na
13,Women who are literate (%),48.8,na
14,Women with 10 or more years of schooling (%),18.6,15.8
15,Women age 20-24 years married before age 18 years (%),39.9,37.7
16,Births in the 5 years preceding the survey that are third or higher order (%),3.7,3.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),18.9,13.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.4,39.9
19,Any method (%),50.4,34.6
20,Any modern method (%),34.0,32.9
21,Female sterilization (%),23.2,25.4
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.0,1.9
24,Pill (%),2.7,3.0
25,Condom (%),1.8,1.3
26,Injectables (%),0.4,0.5
27,Total unmet need(%),13.2,17.5
28,Unmet need for spacing (%),3.2,8.0
29,Health worker ever talked to female non-users about family planning (%),32.9,18.6
30,Current users ever told about side effects of current method (%),56.8,38.2
31,Mothers who had an antenatal check-up in the first trimester (%),67.1,35.1
32,Mothers who had at least 4 antenatal care visits (%),36.2,20.0
33,Mothers whose last birth was protected against neonatal tetanus (%),83.8,90.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.0,7.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.3,0.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.1,90.8
37,days of delivery (%),64.8,34.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,546",917
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.3,2.6
40,days of delivery (%),61.0,na
41,Institutional births (%),64.7,48.2
42,Institutional births in public facility (%),59.5,41.9
43,Home births that were conducted by skilled health personnel (%),14.0,7.1
44,Births attended by skilled health personnel (%),75.7,55.2
45,Births delivered by caesarean section (%),4.9,2.9
46,Births in a private health facility that were delivered by caesarean section (%),(46.4),(37.4)
47,Births in a public health facility that were delivered by caesarean section (%),4.1,1.4
48,mother's recall (%),66.0,62.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),72.6,73.5
50,Children age 12-23 months who have received BCG (%),95.7,95.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),68.8,76.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),74.5,76.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.4,75.5
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),25.9,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),70.9,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),73.6,48.2
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.1,57.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.1,100.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.9,0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,3.8
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
