,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),62.4,58.6
1,Population below age 15 years (%),28.6,32.5
2,"Sex ratio of the total population (females per 1,000 males)",935,889
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",915,942
4,Children under age 5 years whose birth was registered with the civil authority (%),91.6,86.1
5,Deaths in the last 3 years registered with the civil authority (%),78.7,na
6,Population living in households with electricity (%),98.6,88.5
7,Population living in households with an improved drinking-water source (%),90.1,90.8
8,Population living in households that use an improved sanitation facility(%),53.7,21.2
9,Households using clean fuel for cooking (%),20.3,15.9
10,Households using iodized salt (%),96.0,90.6
11,Households with any usual member covered under a health insurance/financing scheme (%),34.2,19.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.2,na
13,Women who are literate (%),57.0,na
14,Women with 10 or more years of schooling (%),17.6,12.3
15,Women age 20-24 years married before age 18 years (%),29.7,35.4
16,Births in the 5 years preceding the survey that are third or higher order (%),3.4,4.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.7,9.9
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),50.6,32.6
19,Any method (%),76.6,58.3
20,Any modern method (%),68.2,58.3
21,Female sterilization (%),57.8,49.2
22,Male sterilization (%),0.4,0.0
23,IUD/PPIUD (%),0.5,0.4
24,Pill (%),0.8,2.9
25,Condom (%),7.6,5.5
26,Injectables (%),0.2,0.1
27,Total unmet need(%),6.5,14.2
28,Unmet need for spacing (%),3.1,5.8
29,Health worker ever talked to female non-users about family planning (%),24.8,30.3
30,Current users ever told about side effects of current method (%),46.2,52.6
31,Mothers who had an antenatal check-up in the first trimester (%),81.8,68.3
32,Mothers who had at least 4 antenatal care visits (%),57.9,38.5
33,Mothers whose last birth was protected against neonatal tetanus (%),91.7,93.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),42.5,18.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),26.6,7.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1,94.5
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),77.8,70.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,585",868
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),76.4,na
41,Institutional births (%),91.3,82.3
42,Institutional births in public facility (%),83.6,75.9
43,Home births that were conducted by skilled health personnel (%),2.4,1.9
44,Births attended by skilled health personnel (%),92.1,69.7
45,Births delivered by caesarean section (%),6.2,4.8
46,Births in a private health facility that were delivered by caesarean section (%),*,(48.0)
47,Births in a public health facility that were delivered by caesarean section (%),1.3,2.3
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),69.1,37.2
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(82.0),(68.4)
50,Children age 12-23 months who have received BCG (%),96.5,80.9
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.5,47.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.9,59.1
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),80.3,59.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),39.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),78.6,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.9,43.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.4,69.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),98.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.4,12.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,77.8
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,62.2
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,75.8
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.4,3.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*,(72.7)
66,Children under age 3 years breastfed within one hour of birth (%),51.8,32.8
67,Children under age 6 months exclusively breastfed (%),(65.3),(30.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),3.4,6.4
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),3.1,6.3
72,Children under 5 years who are stunted (height-for-age) (%),32.6,42.5
73,Children under 5 years who are wasted (weight-for-height) (%),19.7,31.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),4.5,10.8
75,Children under 5 years who are underweight (weight-for-age) (%),31.1,46.3
76,Children under 5 years who are overweight (weight-for-height) (%),0.5,1.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),26.1,30.1
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.4,10.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),42.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),59.7,60.2
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),46.3,42.5
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(42.5),39.7
83,All women age 15-49 years who are anaemic (%),46.1,42.3
84,All women age 15-19 years who are anaemic (%),45.0,46.0
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.2,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.2,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.4,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),7.3,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),6.6,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.1,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.2,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.9,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),16.3,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.4,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),19.8,na
97,Ever undergone a screening test for cervical cancer (%),1.5,na
98,Ever undergone a breast examination for breast cancer (%),0.0,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),8.4,na
101,Men age 15 years and above who use any kind of tobacco (%),46.8,na
102,Women age 15 years and above who consume alcohol (%),0.5,na
103,Men age 15 years and above who consume alcohol (%),12.2,na
