,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),85.3
2,Population below age 15 years (%),20.2
3,"Sex ratio of the total population (females per 1,000 males)",937
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,048"
5,Children under age 5 years whose birth was registered with the civil authority (%),94.9
6,Deaths in the last 3 years registered with the civil authority (%),88.1
7,Population living in households with electricity (%),99.8
8,Population living in households with an improved drinking-water source (%),98.5
9,Population living in households that use an improved sanitation facility(%),80.2
10,Households using clean fuel for cooking (%),65.2
11,Households using iodized salt (%),99.8
12,Households with any usual member covered under a health insurance/financing scheme (%),28.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(32.3)
15,Women who are literate (%),86.2
16,Women with 10 or more years of schooling (%),30.9
18,Women age 20-24 years married before age 18 years (%),37.1
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),20.2
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),81.5
23,Any method (%),80.1
24,Any modern method (%),53.9
25,Female sterilization (%),15.6
26,Male sterilization (%),0.0
27,IUD/PPIUD (%),0.2
28,Pill (%),32.5
29,Condom (%),4.6
30,Injectables (%),0.2
32,Total unmet need(%),2.5
33,Unmet need for spacing (%),0.9
35,Health worker ever talked to female non-users about family planning (%),9.4
36,Current users ever told about side effects of current method (%),42.1
38,Mothers who had an antenatal check-up in the first trimester (%),78.7
39,Mothers who had at least 4 antenatal care visits (%),61.2
40,Mothers whose last birth was protected against neonatal tetanus (%),99.3
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),31.8
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.1
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.1
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,556"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.7
51,Institutional births (%),95.3
52,Institutional births in public facility (%),79.8
53,Home births that were conducted by skilled health personnel (%),1.6
54,Births attended by skilled health personnel (%),96.9
55,Births delivered by caesarean section (%),47.7
56,Births in a private health facility that were delivered by caesarean section (%),(94.2)
57,Births in a public health facility that were delivered by caesarean section (%),41.4
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(88.4)
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(93.7)
61,Children age 12-23 months who have received BCG (%),(100.0)
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),(88.4)
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(94.1)
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(94.1)
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(33.6)
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(74.7)
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(91.7)
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.0
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.6)
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(6.4)
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.4
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
